"DATE","Floday","Sedday","Orgnday","Orgpday","No3day","Nh3day","No2day","Minpday","Cbodday","Disoxday","Chladay","Solpstday","Srbpstday","Bactpday","Bactlpday","Cmtl1day","Cmtl2day","Cmtl3day","salt1","salt2","salt3","salt4","salt5","salt6","salt7","salt8","salt9","salt10"
1/1/2000,98269.24360,0.00000,0.00000,0.00000,670.68759,18.69572,0.00000,465.91905,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1/2/2000,103606.67170,0.00000,0.00000,0.00000,645.81492,19.94428,0.00000,469.85626,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1/3/2000,148236.65560,0.00000,0.00000,0.00000,836.30180,28.86909,0.00000,641.67942,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1/4/2000,108716.97520,0.00000,0.00000,0.00000,549.02072,21.41724,0.00000,448.18573,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1/5/2000,104250.19140,0.00000,0.00000,0.00000,775.10017,20.77185,0.00000,408.26981,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1/6/2000,106445.72920,0.00000,0.00000,0.00000,1045.29706,21.44881,0.00000,394.91366,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1/7/2000,101524.69620,0.00000,0.00000,0.00000,991.69323,20.68566,0.00000,382.60307,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1/8/2000,108451.99650,0.00000,0.00000,0.00000,1053.71960,22.34111,0.00000,415.06128,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1/9/2000,112880.92620,0.00000,0.00000,0.00000,1090.88127,23.50745,0.00000,438.62303,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1/10/2000,104628.73240,0.00000,0.00000,0.00000,1005.69138,22.02435,0.00000,412.68561,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1/11/2000,96679.37140,0.00000,0.00000,0.00000,924.25479,20.56854,0.00000,386.99371,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1/12/2000,103455.25530,0.00000,0.00000,0.00000,964.72026,22.24288,0.00000,420.17613,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1/13/2000,101638.25850,0.00000,0.00000,0.00000,923.89177,22.08091,0.00000,418.74963,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1/14/2000,102206.07000,0.00000,0.00000,0.00000,856.28245,22.43423,0.00000,429.33850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
